CMDLINE C:\Users\peiman\AppData\Local\Programs\Python\Python310\python.exe main_test.py
MEM 1292.535156 1669950768.8770
MEM 1292.535156 1669950768.9889
MEM 1292.535156 1669950769.1010
MEM 1292.535156 1669950769.2115
MEM 1292.535156 1669950769.3226
MEM 1292.582031 1669950769.4316
MEM 1292.687500 1669950769.5405
MEM 1292.687500 1669950769.6495
MEM 1296.980469 1669950769.7598
MEM 1300.636719 1669950769.8675
MEM 1307.664062 1669950769.9770
MEM 1314.640625 1669950770.0871
MEM 1321.726562 1669950770.1992
MEM 1329.121094 1669950770.3102
MEM 1336.207031 1669950770.4202
MEM 1343.378906 1669950770.5291
MEM 1340.613281 1669950770.6383
MEM 1361.976562 1669950770.7482
MEM 1361.976562 1669950770.8562
MEM 1364.027344 1669950770.9666
MEM 1365.652344 1669950771.0779
MEM 1366.992188 1669950771.1879
MEM 1368.167969 1669950771.2979
MEM 1368.367188 1669950771.4089
MEM 1369.394531 1669950771.5204
MEM 1370.542969 1669950771.6310
MEM 1368.109375 1669950771.7410
MEM 1368.355469 1669950771.8530
MEM 1369.160156 1669950771.9650
MEM 1370.382812 1669950772.0740
MEM 1370.710938 1669950772.1850
MEM 1371.007812 1669950772.2972
MEM 1371.167969 1669950772.4080
MEM 1371.589844 1669950772.5166
MEM 1371.750000 1669950772.6271
MEM 1371.937500 1669950772.7371
MEM 1378.660156 1669950772.8491
MEM 1378.660156 1669950772.9592
MEM 1380.382812 1669950773.0691
MEM 1387.234375 1669950773.1791
MEM 1394.187500 1669950773.2892
MEM 1401.062500 1669950773.4012
MEM 1407.800781 1669950773.5115
MEM 1418.609375 1669950773.6223
MEM 1421.390625 1669950773.7333
MEM 1423.203125 1669950773.8423
MEM 1422.718750 1669950773.9524
MEM 1423.367188 1669950774.0620
MEM 1423.367188 1669950774.1714
MEM 1424.703125 1669950774.2824
MEM 1423.859375 1669950774.3924
MEM 1424.441406 1669950774.5014
MEM 1425.015625 1669950774.6135
MEM 1425.062500 1669950774.7245
MEM 1425.441406 1669950774.8340
MEM 1425.960938 1669950774.9430
MEM 1427.144531 1669950775.0520
MEM 1434.226562 1669950775.1601
MEM 1434.226562 1669950775.2693
MEM 1436.847656 1669950775.3788
MEM 1443.851562 1669950775.4869
MEM 1450.480469 1669950775.5975
MEM 1458.113281 1669950775.7078
MEM 1460.625000 1669950775.8199
MEM 1461.160156 1669950775.9313
MEM 1460.171875 1669950776.0433
MEM 1460.628906 1669950776.1553
MEM 1460.988281 1669950776.2653
MEM 1461.058594 1669950776.3764
MEM 1461.687500 1669950776.4879
MEM 1462.343750 1669950776.5983
MEM 1467.714844 1669950776.7096
MEM 1471.007812 1669950776.8201
MEM 1472.472656 1669950776.9306
MEM 1476.621094 1669950777.0406
MEM 1483.070312 1669950777.1492
MEM 1483.070312 1669950777.2612
MEM 1485.312500 1669950777.3713
MEM 1485.703125 1669950777.4813
MEM 1485.714844 1669950777.5914
MEM 1486.042969 1669950777.7015
MEM 1487.937500 1669950777.8103
MEM 1494.097656 1669950777.9192
MEM 1494.097656 1669950778.0292
MEM 1497.289062 1669950778.1398
MEM 1502.613281 1669950778.2491
MEM 1502.613281 1669950778.3600
MEM 1502.480469 1669950778.4690
MEM 1506.203125 1669950778.5796
MEM 1507.214844 1669950778.6906
MEM 1511.656250 1669950778.8017
MEM 1511.656250 1669950778.9106
MEM 1511.898438 1669950779.0197
MEM 1513.207031 1669950779.1307
MEM 1518.226562 1669950779.2418
MEM 1519.343750 1669950779.3537
MEM 1520.699219 1669950779.4658
MEM 1524.402344 1669950779.5759
MEM 1524.429688 1669950779.6857
MEM 1524.437500 1669950779.7968
MEM 1529.390625 1669950779.9073
MEM 1529.652344 1669950780.0189
MEM 1529.652344 1669950780.1305
MEM 1534.292969 1669950780.2400
MEM 1534.960938 1669950780.3520
MEM 1535.085938 1669950780.4629
MEM 1536.613281 1669950780.5735
MEM 1536.613281 1669950780.6843
MEM 1537.800781 1669950780.7958
MEM 1535.378906 1669950780.9058
MEM 1532.804688 1669950781.0176
MEM 1532.804688 1669950781.1270
MEM 1533.968750 1669950781.2379
MEM 1530.402344 1669950781.3489
MEM 1530.960938 1669950781.4604
MEM 1526.292969 1669950781.5705
MEM 1526.980469 1669950781.6816
MEM 1526.980469 1669950781.7924
MEM 1524.593750 1669950781.9018
MEM 1511.093750 1669950782.0129
MEM 1515.656250 1669950782.1239
MEM 1516.589844 1669950782.2338
MEM 1516.917969 1669950782.3435
MEM 1517.007812 1669950782.4515
MEM 1517.515625 1669950782.5613
MEM 1517.214844 1669950782.6715
MEM 1498.500000 1669950782.7835
MEM 1503.984375 1669950782.8949
MEM 1501.277344 1669950783.0054
MEM 1502.085938 1669950783.1169
MEM 1502.085938 1669950783.2290
MEM 1506.578125 1669950783.3402
MEM 1504.199219 1669950783.4517
MEM 1504.636719 1669950783.5637
MEM 1505.691406 1669950783.6757
MEM 1473.960938 1669950783.7857
MEM 1476.925781 1669950783.8977
MEM 1477.652344 1669950784.0088
MEM 1478.960938 1669950784.1161
MEM 1479.382812 1669950784.2280
MEM 1479.390625 1669950784.3372
MEM 1479.390625 1669950784.4482
MEM 1485.281250 1669950784.5581
MEM 1489.253906 1669950784.6682
MEM 1487.800781 1669950784.7785
MEM 1488.402344 1669950784.8904
MEM 1489.472656 1669950785.0014
MEM 1490.445312 1669950785.1094
MEM 1491.488281 1669950785.2215
MEM 1440.710938 1669950785.3332
MEM 1444.750000 1669950785.4442
MEM 1445.261719 1669950785.5543
MEM 1445.683594 1669950785.6654
MEM 1447.718750 1669950785.7768
MEM 1447.859375 1669950785.8869
MEM 1448.140625 1669950785.9985
MEM 1448.160156 1669950786.1086
MEM 1448.160156 1669950786.2185
MEM 1455.300781 1669950786.3265
MEM 1459.425781 1669950786.4375
MEM 1466.093750 1669950786.5475
MEM 1457.769531 1669950786.6590
MEM 1467.664062 1669950786.7693
MEM 1465.757812 1669950786.8802
MEM 1466.714844 1669950786.9902
MEM 1467.710938 1669950787.1012
MEM 1468.671875 1669950787.2117
MEM 1469.597656 1669950787.3217
MEM 1457.660156 1669950787.4311
MEM 1385.441406 1669950787.5399
MEM 1387.878906 1669950787.6509
MEM 1390.156250 1669950787.7604
MEM 1392.824219 1669950787.8694
MEM 1395.312500 1669950787.9804
MEM 1396.765625 1669950788.0884
MEM 1398.046875 1669950788.1985
MEM 1401.875000 1669950788.3065
MEM 1402.230469 1669950788.4156
MEM 1402.710938 1669950788.5255
MEM 1402.910156 1669950788.6354
MEM 1403.503906 1669950788.7455
MEM 1403.503906 1669950788.8554
MEM 1407.480469 1669950788.9654
MEM 1413.156250 1669950789.0754
MEM 1419.527344 1669950789.1854
MEM 1426.250000 1669950789.2950
MEM 1433.558594 1669950789.4050
MEM 1411.140625 1669950789.5151
MEM 1429.265625 1669950789.6260
MEM 1435.031250 1669950789.7380
MEM 1431.484375 1669950789.8480
MEM 1432.441406 1669950789.9590
MEM 1433.417969 1669950790.0687
MEM 1434.328125 1669950790.1780
MEM 1435.347656 1669950790.2889
MEM 1436.261719 1669950790.3999
MEM 1437.257812 1669950790.5109
MEM 1438.207031 1669950790.6229
MEM 1439.101562 1669950790.7314
MEM 1309.628906 1669950790.8405
MEM 1308.328125 1669950790.9509
MEM 1310.816406 1669950791.0629
MEM 1313.164062 1669950791.1718
MEM 1320.226562 1669950791.2828
MEM 1320.183594 1669950791.3930
MEM 1326.226562 1669950791.5047
MEM 1326.796875 1669950791.6137
MEM 1328.207031 1669950791.7222
MEM 1329.750000 1669950791.8316
MEM 1331.398438 1669950791.9416
MEM 1339.882812 1669950792.0506
MEM 1340.015625 1669950792.1556
MEM 1340.156250 1669950792.2659
MEM 1340.300781 1669950792.3769
MEM 1340.441406 1669950792.4879
MEM 1340.582031 1669950792.5999
MEM 1340.792969 1669950792.7109
MEM 1340.792969 1669950792.8215
MEM 1346.121094 1669950792.9311
MEM 1349.503906 1669950793.0411
MEM 1356.273438 1669950793.1510
MEM 1363.128906 1669950793.2620
MEM 1369.738281 1669950793.3689
MEM 1376.734375 1669950793.4794
MEM 1375.949219 1669950793.5889
MEM 1348.488281 1669950793.6997
MEM 1365.363281 1669950793.8116
MEM 1378.781250 1669950793.9220
MEM 1379.273438 1669950794.0321
MEM 1380.281250 1669950794.1424
MEM 1381.187500 1669950794.2526
MEM 1382.148438 1669950794.3632
MEM 1383.187500 1669950794.4734
MEM 1384.152344 1669950794.5813
MEM 1385.105469 1669950794.6919
MEM 1386.054688 1669950794.8039
MEM 1387.007812 1669950794.9148
MEM 1387.964844 1669950795.0239
MEM 1388.902344 1669950795.1348
MEM 1389.828125 1669950795.2445
MEM 1390.765625 1669950795.3545
MEM 1391.679688 1669950795.4646
MEM 1374.914062 1669950795.5736
MEM 1190.035156 1669950795.6829
MEM 1190.832031 1669950795.7913
MEM 1197.718750 1669950795.9012
MEM 1195.539062 1669950796.0125
MEM 1197.843750 1669950796.1234
MEM 1200.191406 1669950796.2334
MEM 1202.847656 1669950796.3428
MEM 1205.183594 1669950796.4525
MEM 1213.679688 1669950796.5635
MEM 1222.652344 1669950796.6735
MEM 1223.105469 1669950796.7835
MEM 1224.000000 1669950796.8945
MEM 1225.425781 1669950797.0049
MEM 1226.390625 1669950797.1169
MEM 1228.160156 1669950797.2279
MEM 1229.648438 1669950797.3389
MEM 1239.074219 1669950797.4489
MEM 1239.187500 1669950797.5600
MEM 1239.257812 1669950797.6694
MEM 1239.375000 1669950797.7799
MEM 1239.441406 1669950797.8899
MEM 1239.562500 1669950797.9989
MEM 1239.628906 1669950798.1090
MEM 1239.750000 1669950798.2205
MEM 1239.816406 1669950798.3290
MEM 1240.031250 1669950798.4381
MEM 1240.031250 1669950798.5489
MEM 1244.500000 1669950798.6589
MEM 1250.210938 1669950798.7709
MEM 1257.046875 1669950798.8812
MEM 1263.597656 1669950798.9913
MEM 1270.781250 1669950799.1022
MEM 1277.593750 1669950799.2132
MEM 1284.480469 1669950799.3233
MEM 1291.539062 1669950799.4342
MEM 1298.480469 1669950799.5434
MEM 1301.402344 1669950799.6545
MEM 1237.519531 1669950799.7641
MEM 1257.644531 1669950799.8739
MEM 1273.269531 1669950799.9838
MEM 1288.019531 1669950800.0925
MEM 1301.566406 1669950800.2026
MEM 1302.082031 1669950800.3122
MEM 1303.035156 1669950800.4206
MEM 1304.015625 1669950800.5291
MEM 1305.039062 1669950800.6411
MEM 1305.968750 1669950800.7511
MEM 1306.953125 1669950800.8612
MEM 1307.859375 1669950800.9733
MEM 1308.890625 1669950801.0829
MEM 1309.843750 1669950801.1933
MEM 1310.863281 1669950801.3046
MEM 1311.832031 1669950801.4139
MEM 1312.765625 1669950801.5234
MEM 1313.765625 1669950801.6324
MEM 1314.683594 1669950801.7414
MEM 1315.644531 1669950801.8518
MEM 1316.582031 1669950801.9629
MEM 1317.566406 1669950802.0709
MEM 1318.566406 1669950802.1818
MEM 1319.570312 1669950802.2928
MEM 1320.570312 1669950802.4038
MEM 1321.507812 1669950802.5125
MEM 1322.496094 1669950802.6225
MEM 1216.093750 1669950802.7315
MEM 1009.714844 1669950802.8395
MEM 1012.078125 1669950802.9496
MEM 1014.328125 1669950803.0586
MEM 1016.687500 1669950803.1676
MEM 1019.000000 1669950803.2776
MEM 1021.195312 1669950803.3847
MEM 1023.507812 1669950803.4957
MEM 1025.855469 1669950803.6047
MEM 1028.144531 1669950803.7136
MEM 1033.839844 1669950803.8237
MEM 1033.027344 1669950803.9330
MEM 1043.156250 1669950804.0450
MEM 1055.636719 1669950804.1557
MEM 1067.761719 1669950804.2651
MEM 1069.585938 1669950804.3731
MEM 1071.566406 1669950804.4821
MEM 1073.125000 1669950804.5901
MEM 1074.773438 1669950804.7013
MEM 1076.468750 1669950804.8124
MEM 1077.960938 1669950804.9223
MEM 1079.996094 1669950805.0332
MEM 1081.527344 1669950805.1430
MEM 1094.535156 1669950805.2540
MEM 1094.539062 1669950805.3649
MEM 1094.539062 1669950805.4740
MEM 1094.601562 1669950805.5847
MEM 1094.601562 1669950805.6939
MEM 1094.601562 1669950805.8038
